MK18,Assault Rifle,5.56x45mm,12800,High-end assembled carbine with contracted and/or overhauled parts complete with all accessories to current standards at time of build. Damage HS (with helmet) 120+. Damage CH with (Bulletproof vest) 55,MK18.webp
M16,Assault Rifle,5.56x45mm,11200,The fourth generation of the M16 series featuring a full length rail system,M16.webp
AKM,Assault Rifle,7.62x39mm,11200,A gas operated assault rifle using the 7.62x39mm Soviet intermediate cartridge. Damage HS (with helmet) 120+. Damage CH with (Bulletproof vest) 70,AKM.webp
AK-47,Assault Rifle,7.62x39mm,11200,Damage HS (with helmet) 120+ Damage CH with (Bulletproof vest) 70,AK-47.webp
AK-15,Assault Rifle,7.62x39mm,12800,The AK-15 is essentially a version of the AK-12 it is chambered for a 7.62x39mm ammunition. This ammunition has superior penetration and stopping power comparing with the 5.45x39mm ammunition or the standard 5.56x45 mm ammunition. The 7.62x39mm ammunition is still used by the military and law enforcement forces and is widely used around the world. Some operators prefer this caliber. There were also plans to chamber the AK-15 for a standard 7.62x51mm ammunition. The new weapon is better balanced and has improved ergonomics.,AK-15.webp
AWM,Sniper Rifle,.338,16000,Bolt action sniper rifle with removable box magazine. Uses .338 caliber ammo.,AWM.webp
SVD,Sniper Rifle,7.62x54mmR,24000,A semi-automatic sniper / designated marksman rifle chambered in 7.62x54mmR and designed as a squad support weapon.,SVD.webp
M82A1,Sniper Rifle,.50 BMG,35200,A recoil-operated semi-automatic anti-material sniper system. Damage HS (with helmet) 120+. Damage CH with (Bulletproof vest) 120+.,M82A1.webp
Carbon Hunter,Sniper Rifle,.30-06,8000,Carbon Hunter is a bolt action rifle mostly used for game hunting. It's being loaded with Cal 30_06 bullets.,Carbon_Hunter.webp
Kar98k,Sniper Rifle,7.92x57mm,11200,A bolt action rifle known as the primary rifle used in World War II. Damage HS (with helmet) 120+. Damage CH with (Bulletproof vest) 120+.,Kar98.webp
Desert Eagle,Pistol,.50 AE,8000,The Deagle 50 is a semi-automatic handgun notable for chambering the largest centerfire cartridge of any magazine-fed and self-loading pistol. Uses: .50 AE ammunition.,DEagle_.357.webp
Block 21,Pistol,.45 ACP,1600,The Block 21 is a full-size service pistol with a standard law enforcement round with proven knock down power. The Block 21 is a short-recoil operated striker-fire semi-automatic pistol. Uses: 0.45 ACP ammunition.,Block_21.webp
HS-SF19,Pistol,9x19mm,4000,SF19 offers everything you need in full size a high capacity strike fired pistol. Featuring forged slide and hammer forged barrel with Melonite protective finish. Redesign slide has deeper and more pronounced from and rear serrations for easier manipulation. Uses 9mm ammo.,HS_SF19.webp
M1911,Pistol,.45 ACP,1600,The M1911 pistol originated in the late 1890s as the result of a search for a suitable self-loading (or semi-automatic) pistol to replace the variety of revolvers then in service. It is a single-action semi-automatic and magazine-fed recoil-operated pistol chambered for the .45 ACP cartridge.,M1911.webp
TEC01 M9,Pistol,9x19mm,1600,A short recoil semi-automatic single-action/double-action pistol. Damage HS (with helmet) 120+???. Damage CH with (Bulletproof vest) 9,TEC01_M9.webp
Baseball bat with nails,Melee Weapon,Null,660,A baseball bat is a smooth wooden or metal club used in the sport of baseball. Although this one is made to hit heads not balls but it depends on the context.,Baseball_Bat_Nails.webp
Dildo,Melee Weapon,Null,5500,Does this item really need a description?,Dildo.webp
Improvised metal sword,Melee Weapon,Null,330,A sword made out of scrap metal. Even if its improvised its still deadly.,Improvised_Metal_Sword.webp
Katana,Melee Weapon,Null,8800,Katana were one of the traditionally made Japanese swords that were used by the samurai of ancient and feudal Japan.,Katana.webp
Wired wooden club,Melee Weapon,Null,330,A wooden club reinforced with barbed wire. Young prodigy child of Motika.,Wire_Wooden_Club.webp
AT4 HEAT,Rocket Launcher,84mm,15500,AT-4 is a single-shot 84mm shoulder-fired recoilless launcher. It is a modern solution for a light and disposable with a man-portable anti-armored and anti-fortifications launcher. It is effective against light armored vehicles but will be useless against any heavy armor/fortifications. High-Explosive Anti-Tank (HEAT) warhead carries a shaped charge explosive meant to penetrate armor but is less effective in a wide area.,AT4_HEAT.webp
RPG-7,Rocket Launcher,40mm,15221,RPG-7 is a soviet man made portable multi shot shoulder fired rocket propelled grenade launcher. Widely produced in many variants it is the most famous rocket launcher around the world. It fires a 40mm rocket propelled warhead. Warheads come in multiple sizes and purposes making the RPG a versatile weapon that has been time tested and field proven for generations.,RPG7.webp
VHS BG,Grenade Launcher,40x46 Grenade,14400,The VHS-BG is double action single-shot 40×46mm grenade launcher.,VHS_BG.webp
M249,Machine Gun,5.56x45mm,20733,The M249 is a belt and magazine-fed 5.56x45 NATO light machine gun. An attached folding bipod provides stability for continuous firing.,M249.webp
RPK,Machine Gun,7.62x39mm,19200,The RPK is a gas-operated magazine-fed weapon with an air-cooled selective fire or shoulder-fired weapon with a bipod. It is chambered in 7.62x39mm.,RPK.webp
